tripduration', 'starttime', 'stoptime', 'start station id', 'start station name', 'start station latitude', 'start station longitude', 'end station id', 'end station name', 'end station latitude', 'end station longitude', 'bikeid', 'usertype', 'birth year', 'gender'
1880,4/12/15 10:11,4/12/15 10:42,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15771,Subscriber,1975,1
1599,4/13/15 8:28,4/13/15 8:54,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19214,Subscriber,1977,1
1121,4/13/15 17:33,4/13/15 17:52,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19259,Subscriber,1968,1
1697,4/13/15 18:54,4/13/15 19:22,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,14788,Subscriber,1965,1
1473,4/14/15 9:34,4/14/15 9:58,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17456,Subscriber,1973,2
1648,4/14/15 16:51,4/14/15 17:19,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17783,Subscriber,1975,2
1646,4/14/15 16:51,4/14/15 17:19,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18996,Subscriber,1975,1
1382,4/15/15 18:04,4/15/15 18:27,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16110,Subscriber,1961,1
2409,4/18/15 10:33,4/18/15 11:14,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19444,Customer,,0
2400,4/18/15 10:34,4/18/15 11:14,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18351,Customer,,0
1719,4/18/15 13:01,4/18/15 13:30,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16951,Subscriber,1978,1
2398,4/18/15 17:19,4/18/15 17:59,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,14714,Subscriber,1981,1
1669,4/19/15 17:10,4/19/15 17:38,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16743,Subscriber,1978,1
1570,4/23/15 16:51,4/23/15 17:17,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21573,Customer,,0
1550,4/23/15 16:51,4/23/15 17:17,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16366,Subscriber,1989,2
1249,4/23/15 18:22,4/23/15 18:43,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18435,Subscriber,1972,1
1351,4/24/15 7:56,4/24/15 8:18,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,14962,Customer,,0
1637,4/24/15 8:16,4/24/15 8:43,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15326,Subscriber,1977,1
1917,4/25/15 13:22,4/25/15 13:54,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16900,Subscriber,1977,1
2202,4/25/15 14:42,4/25/15 15:19,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21316,Customer,,0
1842,4/26/15 14:43,4/26/15 15:14,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19169,Customer,,0
1817,4/26/15 14:44,4/26/15 15:14,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18929,Customer,,0
2086,4/26/15 14:49,4/26/15 15:24,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16985,Subscriber,1978,1
2078,4/26/15 14:49,4/26/15 15:24,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,14706,Subscriber,1970,1
1800,4/27/15 13:49,4/27/15 14:19,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,14691,Subscriber,1968,1
1187,4/28/15 19:05,4/28/15 19:25,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21608,Subscriber,1987,1
1501,4/30/15 8:35,4/30/15 9:00,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15485,Subscriber,1977,1
1923,4/30/15 20:04,4/30/15 20:36,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16843,Subscriber,1965,2
